date,crs,sunsens,rgb,site,multispec
20250210,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\Pfynwald \20250210,Pfynwald ,M:/working_package_2/2024_dronecampaign/01_data/Micasense\Pfynwald \20250210
20250311,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\Pfynwald\20250311,Pfynwald,M:/working_package_2/2024_dronecampaign/01_data/Micasense\Pfynwald\20250311
20250411,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\Pfynwald\20250411,Pfynwald,M:/working_package_2/2024_dronecampaign/01_data/Micasense\Pfynwald\20250411
20250409,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\Sanasilva-50845\20250409,Sanasilva-50845,M:/working_package_2/2024_dronecampaign/01_data/Micasense\Sanasilva-50845\20250409
20250409,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\Sanasilva-50877\20250409,Sanasilva-50877,M:/working_package_2/2024_dronecampaign/01_data/Micasense\Sanasilva-50877\20250409
20250410,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\lwf_visp\20250410,lwf_visp,M:/working_package_2/2024_dronecampaign/01_data/Micasense\lwf_visp\20250410
20250410,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\treenet_salgesch\20250410,treenet_salgesch,M:/working_package_2/2024_dronecampaign/01_data/Micasense\treenet_salgesch\20250410
20250410,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\lwf_lens\20250410,lwf_lens,M:/working_package_2/2024_dronecampaign/01_data/Micasense\lwf_lens\20250410
20250411,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\Illgraben\20250411,Illgraben,M:/working_package_2/2024_dronecampaign/01_data/Micasense\Illgraben\20250411
20250424,2056,True,M:/working_package_2/2024_dronecampaign/01_data/P1\lwf_neunkirch\20250424,lwf_neunkirch,M:/working_package_2/2024_dronecampaign/01_data/Micasense\lwf_neunkirch\20250424
20250430,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\treenet_sempach\20250430,treenet_sempach,M:/working_package_2/2024_dronecampaign/01_data/Micasense\treenet_sempach\20250430
20250430,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\lwf_schänis\20250430,lwf_schänis,M:/working_package_2/2024_dronecampaign/01_data/Micasense\lwf_schänis\20250430
20250502,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\lwf_isone\20250502,lwf_isone,M:/working_package_2/2024_dronecampaign/01_data/Micasense\lwf_isone\20250502
20250502,2056,False,M:/working_package_2/2024_dronecampaign/01_data/P1\sagno\20250502,sagno,M:/working_package_2/2024_dronecampaign/01_data/Micasense\sagno\20250502
